Marca temporal,Nombre del observador,Sector en el que realizo la observación,Turno,Personal al que observo,Momento que observa,Accion que realizo,Momento que observa2 ,Acción que realizo2 
26/11/2025 13:18:04,Daiana Muruchi ,6to piso,Mañana,Medico Clinico,Después de tocar fluidos,Ninguna,Despues de tocar al paciente,Ninguna
26/11/2025 13:18:35,Daiana Muruchi ,5to piso,Mañana,Medico Clinico,Despues de tocar entorno,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 13:20:42,Daiana Muruchi ,5to piso,Mañana,Medico Cirujano (Staff y Residente),Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
26/11/2025 13:21:17,Daiana Muruchi ,5to piso,Mañana,Medico Cirujano (Staff y Residente),Después de tocar fluidos,Ninguna,Despues de tocar al paciente,Ninguna
26/11/2025 13:22:03,Daiana Muruchi ,5to piso,Mañana,Medico Cirujano (Staff y Residente),Despues de tocar entorno,Ninguna,Despues de tocar al paciente,Ninguna
26/11/2025 13:22:36,Daiana Muruchi ,5to piso,Mañana,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
26/11/2025 13:23:13,Daiana Muruchi ,5to piso,Mañana,Tec. Hemoterapia,Antes de tocar al paciente,Ninguna,Despues de tocar fluidos,Lavado con agua y jabón (solo en guardia)
26/11/2025 13:23:53,Daiana Muruchi ,5to piso,Mañana,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 13:24:18,Daiana Muruchi ,5to piso,Mañana,Nutricionista,Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
26/11/2025 13:24:42,Daiana Muruchi ,5to piso,Mañana,Nutricionista,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia),Despues de tocar fluidos,Lavado con agua y jabón (solo en guardia)
18/11/2025 6:47:25,Diego,4to piso,SADOFE,Residente de Clinica,Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Higiene con solución alcoholica
18/11/2025 6:47:57,Diego,4to piso,SADOFE,Medico Cirujano (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
18/11/2025 6:49:18,Diego,4to piso,SADOFE,Medico Nefrologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
26/11/2025 9:27:20,Diego,4to piso,SADOFE,Residente de Clinica,Antes de realizar técnica Aseptica,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 9:28:14,Diego,4to piso,SADOFE,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 9:28:57,Diego,4to piso,SADOFE,Medico Nefrologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
26/11/2025 9:30:13,Diego,4to piso,SADOFE,Tec. Hemoterapia,Antes de realizar técnica Aseptica,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 9:30:51,Diego,4to piso,SADOFE,Tec. Hemodialisis,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
26/11/2025 9:31:22,Diego,4to piso,SADOFE,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
26/11/2025 9:32:04,Diego,4to piso,SADOFE,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar fluidos,Ninguna
26/11/2025 9:33:06,Diego,4to piso,SADOFE,Kinesiologo,Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia),Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
26/11/2025 9:33:45,Diego,4to piso,SADOFE,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar fluidos,Higiene con solución alcoholica
26/11/2025 9:34:23,Diego,4to piso,SADOFE,Medico Clinico,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Ninguna
26/11/2025 9:35:03,Diego,4to piso,SADOFE,Medico Cirujano (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
26/11/2025 9:36:17,Diego,4to piso,SADOFE,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 9:36:55,Diego,4to piso,SADOFE,Medico Nefrologo (Staff y Residente),Antes de realizar técnica Aseptica,Lavado con agua y jabón (solo en guardia),Despues de tocar entorno.,Ninguna
26/11/2025 9:37:45,Diego,4to piso,SADOFE,Tec. Hemodialisis,Antes de realizar técnica Aseptica,Higiene con solución alcoholica,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
26/11/2025 9:44:22,Diego,4to piso,SADOFE,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Ninguna
26/11/2025 9:48:17,Diego,4to piso,SADOFE,Camillero,Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia),Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 9:49:55,Diego,4to piso,SADOFE,Medico Traumatologo (Staff y Residente),Antes de realizar técnica Aseptica,Higiene con solución alcoholica,Despues de tocar entorno.,Ninguna
26/11/2025 9:50:21,Diego,4to piso,SADOFE,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
27/11/2025 18:15:32,Diego,4to piso,SADOFE,Medico Nefrologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
27/11/2025 18:18:52,Diego,4to piso,SADOFE,Imagenes (ecografista y RX),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
27/11/2025 18:19:39,Diego,4to piso,SADOFE,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
2/12/2025 9:29:44,Diego,4to piso,SADOFE,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
2/12/2025 9:30:21,Diego,4to piso,SADOFE,Medico Nefrologo (Staff y Residente),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Ninguna
2/12/2025 9:30:54,Diego,4to piso,SADOFE,Medico Traumatologo (Staff y Residente),Antes de realizar técnica Aseptica,Ninguna,Despues de tocar al paciente,Ninguna
2/12/2025 9:31:45,Diego,4to piso,SADOFE,Medico Cirujano (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar fluidos,Higiene con solución alcoholica
2/12/2025 9:32:24,Diego,4to piso,SADOFE,Medico Urologo (Staff y Residente),Antes de realizar técnica Aseptica,Ninguna,Despues de tocar fluidos,Lavado con agua y jabón (solo en guardia)
2/12/2025 9:34:05,Diego,4to piso,SADOFE,Tec. Hemodialisis,Antes de tocar al paciente,Ninguna,Despues de tocar fluidos,Ninguna
2/12/2025 9:35:18,Diego,4to piso,SADOFE,Kinesiologo,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
2/12/2025 9:38:16,Diego,4to piso,SADOFE,Medico Clinico,Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia),Despues de tocar al paciente,Ninguna
2/12/2025 9:39:19,Diego,4to piso,SADOFE,Tec. Hemoterapia,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
2/12/2025 9:40:34,Diego,4to piso,SADOFE,Imagenes (ecografista y RX),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Lavado con agua y jabón (solo en guardia)
2/12/2025 9:47:47,Diego,4to piso,SADOFE,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
18/11/2025 6:51:09,Diego ,4to piso,SADOFE,Tec. Hemodialisis,Antes de realizar técnica Aseptica,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
26/11/2025 9:38:31,Diego ,4to piso,SADOFE,Medico Traumatologo (Staff y Residente),Antes de realizar técnica Aseptica,Ninguna,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
26/11/2025 9:39:12,Diego ,4to piso,SADOFE,Tec. Hemodialisis,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Ninguna
26/11/2025 9:41:37,Diego ,4to piso,SADOFE,Medico Traumatologo (Staff y Residente),Antes de realizar técnica Aseptica,Higiene con solución alcoholica,Despues de tocar entorno.,Ninguna
26/11/2025 9:43:53,Diego ,4to piso,SADOFE,Imagenes (ecografista y RX),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
26/11/2025 9:45:06,Diego ,4to piso,SADOFE,Enfermeria,Despues de tocar al paciente,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
26/11/2025 9:46:38,Diego ,4to piso,SADOFE,Tec. Hemodialisis,Antes de tocar al paciente,Ninguna,Despues de tocar fluidos,Higiene con solución alcoholica
26/11/2025 9:47:11,Diego ,4to piso,SADOFE,Medico Nefrologo (Staff y Residente),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Ninguna
26/11/2025 9:48:56,Diego ,4to piso,SADOFE,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 9:49:29,Diego ,4to piso,SADOFE,Medico Cirujano (Staff y Residente),Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia),Despues de tocar fluidos,Ninguna
2/12/2025 9:36:57,Diego ,4to piso,SADOFE,Enfermeria,Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia),Despues de tocar fluidos,Higiene con solución alcoholica
3/12/2025 19:18:55,Edu,4to piso,Tarde,Medico Nefrologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
3/11/2025 14:22:03,Eduardo,4to piso,Tarde,Medico Clinico,Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
3/11/2025 14:22:54,Eduardo,4to piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
3/11/2025 14:23:53,Eduardo,4to piso,Tarde,Mucama,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Ninguna
4/11/2025 13:53:04,Eduardo,4to piso,Tarde,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar fluidos,Higiene con solución alcoholica
4/11/2025 13:54:03,Eduardo,4to piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
6/11/2025 19:22:34,Eduardo,4to piso,Tarde,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Lavado con agua y jabón (solo en guardia)
6/11/2025 19:28:13,Eduardo,4to piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
11/11/2025 18:44:16,Eduardo,4to piso,Tarde,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
19/11/2025 18:38:06,Eduardo,4to piso,Tarde,Camillero,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
29/11/2025 1:33:19,Eduardo,4to piso,Tarde,Medico Clinico,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
29/11/2025 1:35:29,Eduardo,4to piso,Tarde,Medico Cirujano (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,
29/11/2025 1:36:28,Eduardo,4to piso,Tarde,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
29/11/2025 1:38:25,Eduardo,4to piso,Tarde,Medico Traumatologo (Staff y Residente),Después de tocar fluidos,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
1/12/2025 10:34:10,Eduardo,4to piso,Mañana,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
3/12/2025 18:58:28,Eduardo,4to piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
3/12/2025 19:02:34,Eduardo,4to piso,Tarde,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
3/12/2025 19:06:25,Eduardo,4to piso,Tarde,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
3/12/2025 19:07:14,Eduardo,4to piso,Tarde,Tec. Hemoterapia,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
5/12/2025 15:49:19,Eduardo,4to piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar fluidos,Higiene con solución alcoholica
5/12/2025 17:29:25,Eduardo,4to piso,Tarde,Medico Cirujano (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
5/12/2025 17:31:55,Eduardo,4to piso,Tarde,Tec. Hemoterapia,Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia),Despues de tocar al paciente,Ninguna
4/11/2025 13:54:52,Eduardo ,4to piso,Tarde,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
6/11/2025 19:21:46,Eduardo ,4to piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
6/11/2025 19:23:24,Eduardo ,4to piso,Tarde,Tec. Hemoterapia,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
6/11/2025 19:27:21,Eduardo ,4to piso,Tarde,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
6/11/2025 19:29:53,Eduardo ,4to piso,Tarde,Mucama,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Ninguna
11/11/2025 18:43:24,Eduardo ,4to piso,Tarde,Medico Clinico,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
11/11/2025 18:45:53,Eduardo ,4to piso,Tarde,Aux. de alimentación,Despues de tocar entorno,Ninguna,Despues de tocar al paciente,Ninguna
11/11/2025 18:46:36,Eduardo ,4to piso,Tarde,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
11/11/2025 18:47:42,Eduardo ,4to piso,Tarde,Tec. Hemoterapia,Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
19/11/2025 18:35:41,Eduardo ,4to piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
19/11/2025 18:36:30,Eduardo ,4to piso,Tarde,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
19/11/2025 18:37:20,Eduardo ,4to piso,Tarde,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
19/11/2025 18:39:05,Eduardo ,4to piso,Tarde,Kinesiologo,Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia),Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
19/11/2025 18:39:47,Eduardo ,4to piso,Tarde,Tec. Hemoterapia,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
19/11/2025 18:40:37,Eduardo ,4to piso,Tarde,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar fluidos,Lavado con agua y jabón (solo en guardia)
1/12/2025 10:36:00,Eduardo ,4to piso,Mañana,Medico Cirujano (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,
1/12/2025 10:37:11,Eduardo ,4to piso,Mañana,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
3/12/2025 19:01:50,Eduardo ,4to piso,Tarde,Imagenes (ecografista y RX),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
3/12/2025 19:05:07,Eduardo ,4to piso,Tarde,Medico Cirujano (Staff y Residente),Después de tocar fluidos,Ninguna,Despues de tocar entorno.,Ninguna
3/12/2025 19:05:54,Eduardo ,4to piso,Tarde,Enfermeria,Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia),Despues de tocar entorno.,Higiene con solución alcoholica
3/12/2025 19:19:43,Eduardo ,4to piso,Tarde,Tec. Hemoterapia,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
5/12/2025 15:47:44,Eduardo ,4to piso,Tarde,Kinesiologo,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
5/12/2025 17:30:10,Eduardo ,4to piso,Tarde,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar fluidos,Lavado con agua y jabón (solo en guardia)
5/12/2025 17:30:52,Eduardo ,4to piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
5/12/2025 17:32:33,Eduardo ,4to piso,Tarde,Enfermeria,Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia),Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
5/12/2025 17:33:18,Eduardo ,4to piso,Tarde,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
4/11/2025 16:49:22,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
4/11/2025 16:51:00,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Despues de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
4/11/2025 16:52:08,Elio Herrera ,7mo  piso,Tarde,Kinesiologo,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
4/11/2025 16:53:42,Elio Herrera ,7mo  piso,Tarde,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
7/11/2025 16:35:55,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
7/11/2025 16:39:08,Elio Herrera ,7mo  piso,Tarde,Kinesiologo,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
7/11/2025 17:24:08,Elio Herrera ,7mo  piso,Tarde,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
7/11/2025 17:24:36,Elio Herrera ,7mo  piso,Tarde,Medico Traumatologo (Staff y Residente),Después de tocar fluidos,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
11/11/2025 14:20:42,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Antes de tocar al paciente,Ninguna,Despues de tocar fluidos,Higiene con solución alcoholica
11/11/2025 14:24:45,Elio Herrera ,7mo  piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
13/11/2025 18:07:17,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
13/11/2025 18:07:42,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Despues de tocar al paciente,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
13/11/2025 18:08:34,Elio Herrera ,7mo  piso,Tarde,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
13/11/2025 18:09:24,Elio Herrera ,7mo  piso,Tarde,Imagenes (ecografista y RX),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
13/11/2025 18:10:02,Elio Herrera ,7mo  piso,Tarde,Imagenes (ecografista y RX),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
13/11/2025 18:10:34,Elio Herrera ,7mo  piso,Tarde,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
13/11/2025 18:10:57,Elio Herrera ,7mo  piso,Tarde,Tec.Laboratorio,Después de tocar fluidos,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
13/11/2025 18:11:23,Elio Herrera ,7mo  piso,Tarde,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
13/11/2025 18:11:46,Elio Herrera ,7mo  piso,Tarde,Tec.Laboratorio,Después de tocar fluidos,Ninguna,Despues de tocar al paciente,
19/11/2025 16:52:21,Elio Herrera ,7mo  piso,Tarde,Imagenes (ecografista y RX),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
19/11/2025 16:52:58,Elio Herrera ,7mo  piso,Tarde,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
19/11/2025 16:53:23,Elio Herrera ,7mo  piso,Tarde,Tec.Laboratorio,Después de tocar fluidos,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
19/11/2025 16:53:59,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
19/11/2025 16:54:23,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Después de tocar fluidos,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
19/11/2025 16:54:48,Elio Herrera ,7mo  piso,Tarde,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
26/11/2025 20:38:34,Elio Herrera ,7mo  piso,Tarde,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
26/11/2025 20:39:28,Elio Herrera ,7mo  piso,Tarde,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
26/11/2025 20:40:07,Elio Herrera ,7mo  piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 20:41:14,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Antes de tocar al paciente,Ninguna,Despues de tocar fluidos,Higiene con solución alcoholica
26/11/2025 20:41:42,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,
26/11/2025 20:42:25,Elio Herrera ,7mo  piso,Tarde,Kinesiologo,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
27/11/2025 19:20:58,Elio Herrera ,7mo  piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
27/11/2025 19:21:33,Elio Herrera ,7mo  piso,Tarde,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
2/12/2025 16:30:21,Elio Herrera ,7mo  piso,Tarde,Imagenes (ecografista y RX),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
2/12/2025 16:30:44,Elio Herrera ,7mo  piso,Tarde,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
2/12/2025 16:31:15,Elio Herrera ,7mo  piso,Tarde,Tec.Laboratorio,Después de tocar fluidos,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
2/12/2025 16:33:12,Elio Herrera ,7mo  piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
2/12/2025 16:33:53,Elio Herrera ,7mo  piso,Tarde,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Ninguna,,Ninguna
2/12/2025 16:39:16,Elio Herrera ,7mo  piso,Tarde,Kinesiologo,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Ninguna
2/12/2025 16:39:36,Elio Herrera ,7mo  piso,Tarde,Kinesiologo,Despues de tocar entorno,Higiene con solución alcoholica,,
3/12/2025 16:22:48,Elio Herrera ,7mo  piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
3/12/2025 16:23:22,Elio Herrera ,7mo  piso,Tarde,Residente de Clinica,Despues de tocar entorno,Ninguna,,
3/12/2025 16:24:30,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
4/12/2025 12:52:54,Elio Herrera ,7mo  piso,Tarde,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
4/12/2025 20:10:21,Elio Herrera ,7mo  piso,Tarde,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
4/12/2025 20:10:49,Elio Herrera ,7mo  piso,Tarde,Tec.Laboratorio,Después de tocar fluidos,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
4/12/2025 20:11:29,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
4/12/2025 20:12:01,Elio Herrera ,7mo  piso,Tarde,Enfermeria,Después de tocar fluidos,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
4/12/2025 20:13:52,Elio Herrera ,7mo  piso,Tarde,Kinesiologo,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
4/12/2025 20:14:33,Elio Herrera ,7mo  piso,Tarde,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
6/11/2025 19:29:00,Esuardo,4to piso,Tarde,Imagenes (ecografista y RX),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
25/11/2025 10:27:14,Fernandez,GUARDIA,SADOFE,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar fluidos,Lavado con agua y jabón (solo en guardia)
25/11/2025 10:15:33,Fernandez Patricia,GUARDIA,SADOFE,Camillero,Antes de tocar al paciente,Ninguna,Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia)
25/11/2025 10:18:27,Fernandez Patricia,GUARDIA,SADOFE,Medico de UTI adultos,Antes de tocar al paciente,Higiene con solución alcoholica,Antes de tocar al paciente,Higiene con solución alcoholica
26/11/2025 0:58:42,Gabriela Antoniazzi ,5to piso,Noche B,Medico Cirujano (Staff y Residente),Antes de realizar técnica Aseptica,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 0:59:15,Gabriela Antoniazzi ,5to piso,Noche B,Medico Traumatologo (Staff y Residente),Después de tocar fluidos,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
26/11/2025 1:00:44,Gabriela Antoniazzi ,5to piso,Noche B,Residente de Clinica,Antes de realizar técnica Aseptica,Ninguna,Despues de tocar fluidos,Higiene con solución alcoholica
4/11/2025 9:10:26,Giovanna Mamani ,GUARDIA,Noche A,Medico Clinico,Despues de tocar al paciente,Ninguna,Antes de tocar al paciente,Higiene con solución alcoholica
